Doc_ID,Domain,LLM_Source,V1_HLS,V2_HLS,HLS_Winner,V1_Time,V2_Time,Speed_Winner
academic_gemini_024,academic,gemini,0.616,0.695,V2,1513.20,1210.56,V2
healthcare_claude_112,healthcare,claude,0.639,0.626,V1,967.20,773.76,V2
healthcare_claude_114,healthcare,claude,0.685,0.644,V1,1571.70,1257.36,V2
technical_claude_041,technical,claude,0.682,0.621,V1,1478.10,1182.48,V2
general_llama_122,general,llama,0.637,0.635,V1,1454.70,1163.76,V2
business_llama_052,business,llama,0.634,0.666,V2,1524.90,1219.92,V2
academic_gemini_022,academic,gemini,0.733,0.725,V1,1248.00,998.40,V2
general_gpt_132,general,gpt,0.650,0.554,V1,1138.80,911.04,V2
blog_llama_078,blog,llama,0.746,0.613,V1,1751.10,1400.88,V2
blog_gemini_095,blog,gemini,0.713,0.682,V1,1474.20,1179.36,V2
general_llama_126,general,llama,0.708,0.606,V1,865.80,692.64,V2
healthcare_claude_110,healthcare,claude,0.617,0.634,V2,916.50,733.20,V2
technical_llama_030,technical,llama,0.689,0.626,V1,998.40,798.72,V2
general_gpt_129,general,gpt,0.614,0.716,V2,1244.10,995.28,V2
healthcare_llama_097,healthcare,llama,0.611,0.620,V2,1322.10,1057.68,V2
technical_llama_026,technical,llama,0.592,0.616,V2,1552.20,1241.76,V2
technical_gpt_032,technical,gpt,0.571,0.508,V1,1458.60,1166.88,V2
business_claude_066,business,claude,0.650,0.656,V2,1677.00,1341.60,V2
academic_llama_005,academic,llama,0.669,0.678,V2,1400.10,1120.08,V2
technical_gpt_035,technical,gpt,0.582,0.558,V1,1805.70,1444.56,V2
academic_gpt_011,academic,gpt,0.711,0.706,V1,1735.50,1388.40,V2
healthcare_gemini_120,healthcare,gemini,0.602,0.701,V2,1470.30,1176.24,V2
blog_llama_077,blog,llama,0.667,0.599,V1,1407.90,1126.32,V2
blog_claude_086,blog,claude,0.725,0.724,V1,1029.60,823.68,V2
technical_llama_027,technical,llama,0.602,0.651,V2,1848.60,1478.88,V2
blog_gpt_083,blog,gpt,0.682,0.646,V1,1240.20,992.16,V2
general_gpt_127,general,gpt,0.585,0.684,V2,1431.30,1145.04,V2
business_gpt_055,business,gpt,0.634,0.625,V1,1595.10,1276.08,V2
general_claude_136,general,claude,0.636,0.560,V1,1287.00,1029.60,V2
general_gemini_142,general,gemini,0.648,0.677,V2,1372.80,1098.24,V2
business_llama_050,business,llama,0.719,0.597,V1,963.30,770.64,V2
technical_claude_042,technical,claude,0.608,0.617,V2,1466.40,1173.12,V2
healthcare_llama_101,healthcare,llama,0.684,0.672,V1,908.70,726.96,V2
general_llama_121,general,llama,0.616,0.603,V1,975.00,780.00,V2
business_gemini_071,business,gemini,0.615,0.590,V1,1719.90,1375.92,V2
technical_gpt_031,technical,gpt,0.616,0.557,V1,1092.00,873.60,V2
academic_llama_003,academic,llama,0.740,0.771,V2,912.60,730.08,V2
blog_claude_088,blog,claude,0.639,0.620,V1,834.60,667.68,V2
general_gemini_140,general,gemini,0.717,0.582,V1,1419.60,1135.68,V2
technical_gemini_047,technical,gemini,0.711,0.681,V1,1251.90,1001.52,V2
blog_gemini_091,blog,gemini,0.750,0.666,V1,1177.80,942.24,V2
business_claude_062,business,claude,0.663,0.684,V2,1774.50,1419.60,V2
academic_claude_013,academic,claude,0.694,0.702,V2,1423.50,1138.80,V2
technical_gemini_048,technical,gemini,0.682,0.632,V1,1298.70,1038.96,V2
academic_claude_018,academic,claude,0.766,0.769,V2,1072.50,858.00,V2
technical_gemini_046,technical,gemini,0.636,0.701,V2,1400.10,1120.08,V2
healthcare_gemini_115,healthcare,gemini,0.583,0.595,V2,1041.30,833.04,V2
academic_gpt_010,academic,gpt,0.664,0.670,V2,1953.90,1563.12,V2
healthcare_gpt_103,healthcare,gpt,0.657,0.643,V1,900.90,720.72,V2
blog_gpt_084,blog,gpt,0.693,0.660,V1,928.20,742.56,V2
technical_gpt_033,technical,gpt,0.635,0.644,V2,1314.30,1051.44,V2
general_claude_137,general,claude,0.607,0.599,V1,1575.60,1260.48,V2
blog_claude_085,blog,claude,0.616,0.631,V2,932.10,745.68,V2
business_claude_061,business,claude,0.617,0.596,V1,971.10,776.88,V2
blog_llama_074,blog,llama,0.652,0.662,V2,1669.20,1335.36,V2
academic_claude_017,academic,claude,0.749,0.768,V2,1540.50,1232.40,V2
academic_llama_004,academic,llama,0.731,0.670,V1,1037.40,829.92,V2
business_claude_065,business,claude,0.702,0.585,V1,1797.90,1438.32,V2
healthcare_gpt_104,healthcare,gpt,0.622,0.574,V1,1981.20,1584.96,V2
healthcare_gpt_107,healthcare,gpt,0.620,0.581,V1,1006.20,804.96,V2
general_gpt_130,general,gpt,0.644,0.604,V1,1170.00,936.00,V2
business_gemini_069,business,gemini,0.601,0.636,V2,1123.20,898.56,V2
academic_llama_001,academic,llama,0.732,0.742,V2,1649.70,1319.76,V2
healthcare_llama_102,healthcare,llama,0.650,0.640,V1,1684.80,1347.84,V2
healthcare_gpt_105,healthcare,gpt,0.618,0.561,V1,1185.60,948.48,V2
academic_gpt_007,academic,gpt,0.690,0.654,V1,1946.10,1556.88,V2
blog_gemini_094,blog,gemini,0.677,0.668,V1,959.40,767.52,V2
healthcare_llama_099,healthcare,llama,0.644,0.588,V1,1560.00,1248.00,V2
technical_llama_028,technical,llama,0.622,0.583,V1,994.50,795.60,V2
healthcare_llama_100,healthcare,llama,0.685,0.642,V1,1622.40,1297.92,V2
general_claude_134,general,claude,0.587,0.691,V2,1170.00,936.00,V2
healthcare_claude_109,healthcare,claude,0.606,0.633,V2,1392.30,1113.84,V2
healthcare_gemini_117,healthcare,gemini,0.603,0.621,V2,1306.50,1045.20,V2
academic_gpt_009,academic,gpt,0.693,0.634,V1,1513.20,1210.56,V2
blog_claude_089,blog,claude,0.668,0.633,V1,1025.70,820.56,V2
general_gpt_131,general,gpt,0.585,0.680,V2,951.60,761.28,V2
technical_claude_039,technical,claude,0.615,0.650,V2,1778.40,1422.72,V2
academic_gemini_021,academic,gemini,0.723,0.681,V1,1415.70,1132.56,V2
business_gemini_072,business,gemini,0.678,0.645,V1,1197.30,957.84,V2
blog_gpt_080,blog,gpt,0.764,0.744,V1,1033.50,826.80,V2
general_claude_138,general,claude,0.575,0.674,V2,1240.20,992.16,V2
healthcare_llama_098,healthcare,llama,0.672,0.586,V1,1524.90,1219.92,V2
academic_gemini_020,academic,gemini,0.624,0.608,V1,1560.00,1248.00,V2
business_gpt_060,business,gpt,0.671,0.630,V1,1037.40,829.92,V2
academic_gemini_019,academic,gemini,0.678,0.694,V2,1041.30,833.04,V2
business_claude_064,business,claude,0.649,0.694,V2,1404.00,1123.20,V2
academic_llama_002,academic,llama,0.696,0.705,V2,1719.90,1375.92,V2
academic_claude_015,academic,claude,0.717,0.663,V1,1205.10,964.08,V2
general_claude_135,general,claude,0.678,0.682,V2,1560.00,1248.00,V2
healthcare_gpt_108,healthcare,gpt,0.702,0.636,V1,1365.00,1092.00,V2
blog_llama_073,blog,llama,0.728,0.603,V1,1177.80,942.24,V2
business_gpt_059,business,gpt,0.614,0.548,V1,1443.00,1154.40,V2
business_gpt_056,business,gpt,0.626,0.653,V2,1384.50,1107.60,V2
academic_claude_016,academic,claude,0.625,0.642,V2,897.00,717.60,V2
blog_gpt_079,blog,gpt,0.639,0.612,V1,1493.70,1194.96,V2
technical_gemini_044,technical,gemini,0.662,0.676,V2,1197.30,957.84,V2
blog_claude_090,blog,claude,0.726,0.683,V1,1049.10,839.28,V2
business_gemini_067,business,gemini,0.591,0.580,V1,1509.30,1207.44,V2
blog_llama_075,blog,llama,0.698,0.692,V1,1485.90,1188.72,V2
general_gemini_139,general,gemini,0.587,0.578,V1,1591.20,1272.96,V2
general_llama_125,general,llama,0.604,0.610,V2,982.80,786.24,V2
technical_claude_040,technical,claude,0.690,0.698,V2,1595.10,1276.08,V2
healthcare_gemini_119,healthcare,gemini,0.638,0.603,V1,1166.10,932.88,V2
business_llama_054,business,llama,0.677,0.595,V1,1185.60,948.48,V2
blog_llama_076,blog,llama,0.643,0.629,V1,795.60,636.48,V2
business_llama_051,business,llama,0.608,0.696,V2,967.20,773.76,V2
technical_gemini_043,technical,gemini,0.641,0.610,V1,1275.30,1020.24,V2
technical_gemini_045,technical,gemini,0.678,0.667,V1,897.00,717.60,V2
healthcare_gemini_116,healthcare,gemini,0.687,0.607,V1,1041.30,833.04,V2
technical_gpt_034,technical,gpt,0.592,0.596,V2,1844.70,1475.76,V2
academic_gemini_023,academic,gemini,0.734,0.724,V1,1053.00,842.40,V2
business_gemini_068,business,gemini,0.688,0.663,V1,1450.80,1160.64,V2
general_gemini_143,general,gemini,0.597,0.698,V2,1365.00,1092.00,V2
business_gpt_058,business,gpt,0.640,0.598,V1,1692.60,1354.08,V2
general_gemini_141,general,gemini,0.638,0.627,V1,1076.40,861.12,V2
blog_claude_087,blog,claude,0.699,0.690,V1,1833.00,1466.40,V2
blog_gpt_081,blog,gpt,0.625,0.623,V1,1544.40,1235.52,V2
healthcare_claude_113,healthcare,claude,0.649,0.658,V2,1404.00,1123.20,V2
technical_gpt_036,technical,gpt,0.648,0.596,V1,1813.50,1450.80,V2
academic_claude_014,academic,claude,0.732,0.701,V1,1333.80,1067.04,V2
blog_gpt_082,blog,gpt,0.729,0.657,V1,1318.20,1054.56,V2
business_llama_049,business,llama,0.648,0.676,V2,1513.20,1210.56,V2
general_llama_123,general,llama,0.650,0.606,V1,1528.80,1223.04,V2
healthcare_gemini_118,healthcare,gemini,0.676,0.692,V2,908.70,726.96,V2
technical_llama_025,technical,llama,0.634,0.708,V2,1599.00,1279.20,V2
academic_gpt_012,academic,gpt,0.682,0.690,V2,1735.50,1388.40,V2
blog_gemini_096,blog,gemini,0.631,0.628,V1,869.70,695.76,V2
business_llama_053,business,llama,0.578,0.563,V1,955.50,764.40,V2
blog_gemini_093,blog,gemini,0.682,0.676,V1,893.10,714.48,V2
healthcare_claude_111,healthcare,claude,0.630,0.662,V2,1146.60,917.28,V2
business_claude_063,business,claude,0.615,0.596,V1,978.90,783.12,V2
academic_gpt_008,academic,gpt,0.682,0.605,V1,1041.30,833.04,V2
general_gpt_128,general,gpt,0.584,0.589,V2,1571.70,1257.36,V2
blog_gemini_092,blog,gemini,0.668,0.734,V2,932.10,745.68,V2
technical_claude_037,technical,claude,0.677,0.584,V1,1255.80,1004.64,V2
business_gpt_057,business,gpt,0.620,0.626,V2,1501.50,1201.20,V2
healthcare_gpt_106,healthcare,gpt,0.580,0.567,V1,1478.10,1182.48,V2
technical_claude_038,technical,claude,0.622,0.570,V1,1267.50,1014.00,V2
academic_llama_006,academic,llama,0.617,0.620,V2,1470.30,1176.24,V2
general_gemini_144,general,gemini,0.628,0.599,V1,1138.80,911.04,V2
business_gemini_070,business,gemini,0.697,0.625,V1,1099.80,879.84,V2
technical_llama_029,technical,llama,0.582,0.568,V1,1006.20,804.96,V2
general_llama_124,general,llama,0.612,0.581,V1,1322.10,1057.68,V2
general_claude_133,general,claude,0.679,0.649,V1,1287.00,1029.60,V2
